number,type
0,category
1,category
2,category
3,category
4,category
5,category
6,category
7,category
8,category
9,category
10,float64
11,category
12,category
13,int64
14,category
15,int64
16,category
17,int64
18,int64
19,int64
20,float64
21,float64
22,float64
23,float64
24,float64
25,float64
26,category
27,float64
28,float64
29,float64
30,float64
31,float64
32,float64
33,float64
34,category
35,category
36,category
37,category
38,int64
39,category
40,float64
41,category
42,int64
43,category
44,category
45,category
46,category
47,category
48,category
49,category
50,category
51,category
52,category
53,category
54,float64
55,category
56,category
57,category
58,float64
59,float64
60,float64
61,category
62,category
63,category
64,float64
65,float64
66,float64
67,category
68,category
69,category
70,category
71,category
72,category
73,category
74,float64
